date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:19	25086/25086	---M--	200	added ('OK')	image/webp	etag:%2236e2d2ca1a7cb881677a2ec83155a04b%22	https://joinergo.com/splitit.webp	./example-site/joinergo.com/splitit.webp	(from https://joinergo.com/)
22:59:20	3510/3510	---M--	200	added ('OK')	image/png	etag:%226cb25a240374f4483bddc625628ef484%22	https://joinergo.com/stratapro.png	./example-site/joinergo.com/stratapro.png	(from https://joinergo.com/)
22:59:22	56517/56517	---M--	200	added ('OK')	image/png	etag:%2264db0373b5543dfdf809cc1e3f4df59b%22	https://joinergo.com/salesforce.png	./example-site/joinergo.com/salesforce.png	(from https://joinergo.com/)
22:59:22	969/969	---M--	200	added ('OK')	image/svg+xml	etag:%2282c1aa9b96be98e0b2cefdf311193e36%22	https://joinergo.com/hubspot.svg	./example-site/joinergo.com/hubspot.svg	(from https://joinergo.com/)
22:59:23	7234/7234	---M--	200	added ('OK')	image/png	etag:%22a3497b51fce7c2a85df83a6c73dc2393%22	https://joinergo.com/attio-logo.png	./example-site/joinergo.com/attio-logo.png	(from https://joinergo.com/)
22:59:24	3768/3768	---M--	200	added ('OK')	image/png	etag:%22310deee5414046e05c6da0477cf529db%22	https://joinergo.com/Ergo%20Logo.png	./example-site/joinergo.com/Ergo%20Logo.png	(from https://joinergo.com/)
22:59:28	21809/21809	---M--	200	added ('OK')	image/png	etag:%22efaa872af515c6ffeb98c8c969931bbb%22	https://joinergo.com/googlecalendar.png	./example-site/joinergo.com/googlecalendar.png	(from https://joinergo.com/)
22:59:29	7714/7714	---M--	200	added ('OK')	image/webp	etag:%22c89bce8644b780a3bdb95c88576733f9%22	https://joinergo.com/slack.webp	./example-site/joinergo.com/slack.webp	(from https://joinergo.com/)
22:59:30	9116/9116	---M--	200	added ('OK')	image/webp	etag:%2226a99c9a6d07f7cc86f0a8d5818c00f8%22	https://joinergo.com/gmail.webp	./example-site/joinergo.com/gmail.webp	(from https://joinergo.com/)
22:59:31	6810/6810	---M--	200	added ('OK')	image/jpeg	etag:%2268e579e5e5bce53b11a4364abb595fe6%22	https://joinergo.com/circleback.jpg	./example-site/joinergo.com/circleback.jpg	(from https://joinergo.com/)
22:59:32	11104/11104	---M--	200	added ('OK')	image/png	etag:%22a9649e794890e8062dffaf4ce370e84b%22	https://joinergo.com/cal.png	./example-site/joinergo.com/cal.png	(from https://joinergo.com/)
22:59:34	105036/105036	---M--	200	added ('OK')	image/png	etag:%229883c636fcf02fe4a7aa944f9be87df4%22	https://joinergo.com/avatar.png	./example-site/joinergo.com/avatar.png	(from https://joinergo.com/)
22:59:34	10353/10353	---M--	200	added ('OK')	image/jpeg	etag:%220da84757a732befdb147eb1c6b05a01b%22	https://joinergo.com/daksh.jpg	./example-site/joinergo.com/daksh.jpg	(from https://joinergo.com/)
22:59:36	65682/65682	---M--	200	added ('OK')	image/png	etag:%22ce4a2398966fe8a78c122b8da6f6c47a%22	https://joinergo.com/newzoom.png	./example-site/joinergo.com/newzoom.png	(from https://joinergo.com/)
22:59:37	12903/12903	---MCZ	200	added ('OK')	text/html	etag:W/%22008382d6795d980c09455886c018043b%22	https://joinergo.com/privacy-policy	./example-site/joinergo.com/privacy-policy	(from https://joinergo.com/)
